# t                       norm_latt	                t                  norm_cont
   3.09375000000000       2.167046182360488E-003	3.09375    0.0022029804196942065146   
   3.12500000000000       2.163861365865678E-003	3.125    0.0021995102080688104673   
   3.15625000000000       2.160637949549614E-003	3.15625    0.0021960069229868980983   
   3.18750000000000       2.157376335973959E-003	3.1875    0.0021924707152438821972   
   3.21875000000000       2.154076925873872E-003	3.21875    0.0021889017426923095752   
   3.25000000000000       2.150740118498335E-003	3.25    0.0021853001702957820183   
   3.28125000000000       2.147366311920252E-003	3.28125    0.0021816661701700004558   
   3.31250000000000       2.143955903321306E-003	3.3125    0.0021779999216109237767   
   3.34375000000000       2.140509289247181E-003	3.34375    0.0021743016111100856522   
   3.37500000000000       2.137026865837963E-003	3.375    0.0021705714323571621031   
   3.40625000000000       2.133509029035489E-003	3.40625    0.0021668095862299292248   
   3.43750000000000       2.129956174767026E-003	3.4375    0.0021630162807717943234   
   3.46875000000000       2.126368699106205E-003	3.46875    0.0021591917311571246331   
   3.50000000000000       2.122746998418129E-003	3.5    0.0021553361596446357100   
   3.53125000000000       2.119091469480887E-003	3.53125    0.0021514497955191364927   
   3.56250000000000       2.115402509590859E-003	3.5625    0.0021475328750219598798   
   3.59375000000000       2.111680516651619E-003	3.59375    0.0021435856412704364991   
   3.62500000000000       2.107925889245705E-003	3.625    0.0021396083441667951764   
   3.65625000000000       2.104139026692596E-003	3.65625    0.0021356012402968964868   
   3.68750000000000       2.100320329091631E-003	3.6875    0.0021315645928192257713   
   3.71875000000000       2.096470197352492E-003	3.71875    0.0021274986713445891886   
   3.75000000000000       2.092589033212498E-003	3.75    0.0021234037518069708495   
   3.78125000000000       2.088677239242847E-003	3.78125    0.0021192801163260209435   
   3.81250000000000       2.084735218843819E-003	3.8125    0.0021151280530616541248   
   3.84375000000000       2.080763376230945E-003	3.84375    0.0021109478560612443974   
   3.87500000000000       2.076762116409347E-003	3.875    0.0021067398250999074410   
   3.90625000000000       2.072731845141741E-003	3.90625    0.0021025042655143638857   
   3.93750000000000       2.068672968907777E-003	3.9375    0.0020982414880308775904   
   3.96875000000000       2.064585894854811E-003	3.96875    0.0020939518085877616466   
   4.00000000000000       2.060471030743688E-003	4.    0.0020896355481529417412   
   4.03125000000000       2.056328784886631E-003	4.03125    0.0020852930325370617975   
   4.06250000000000       2.052159566079743E-003	4.0625    0.0020809245922026106013   
   4.09375000000000       2.047963783531516E-003	4.09375    0.0020765305620695405382   
   4.12500000000000       2.043741846785011E-003	4.125    0.0020721112813178407366   
   4.15625000000000       2.039494165636493E-003	4.15625    0.0020676670931875169507   
   4.18750000000000       2.035221150050010E-003	4.1875    0.0020631983447764195489   
   4.21875000000000       2.030923210070146E-003	4.21875    0.0020587053868363491010   
   4.25000000000000       2.026600755729145E-003	4.25    0.0020541885735678563981   
   4.28125000000000       2.022254196952916E-003	4.28125    0.0020496482624141403865   
   4.31250000000000       2.017883943466560E-003	4.3125    0.0020450848138544335624   
   4.34375000000000       2.013490404694483E-003	4.34375    0.0020404985911972499360   
   4.37500000000000       2.009073989661540E-003	4.375    0.0020358899603738558370   
   4.40625000000000       2.004635106893634E-003	4.40625    0.0020312592897323086672   
   4.43750000000000       2.000174164314397E-003	4.4375    0.0020266069498323933013   
   4.46875000000000       1.995691569144992E-003	4.46875    0.0020219333132417702572   
   4.50000000000000       1.991187727800489E-003	4.5    0.0020172387543336340809   
   4.53125000000000       1.986663045788765E-003	4.53125    0.0020125236490861646725   
   4.56250000000000       1.982117927607601E-003	4.5625    0.0020077883748840385862   
   4.59375000000000       1.977552776643735E-003	4.59375    0.0020030333103222517181   
   4.62500000000000       1.972967995071432E-003	4.625    0.0019982588350124893032   
   4.65625000000000       1.968363983753328E-003	4.65625    0.0019934653293922638195   
   4.68750000000000       1.963741142140387E-003	4.6875    0.0019886531745370262937   
   4.71875000000000       1.959099868174658E-003	4.71875    0.0019838227519754416381   
   4.75000000000000       1.954440558193357E-003	4.75    0.0019789744435080040790   
   4.78125000000000       1.949763606832955E-003	4.78125    0.0019741086310291544744   
   4.81250000000000       1.945069406937009E-003	4.8125    0.0019692256963530473959   
   4.84375000000000       1.940358349464161E-003	4.84375    0.0019643260210431022917   
